Nama|NPWP|Komite Audit Ketua|Nama Penerima|Komite Audit Anggota 2|Komite Audit Anggota 3|Komite Audit Anggota 4|Komite Audit Anggota 5|Direktur Utama|Direktur 1|Direktur 2|Direktur 3|Direktur 4|Direktur 5|Direktur 6|Direktur 7|Direktur 8|Direktur 9|Direktur 10|Direktur 11|Direktur 12|Direktur 13|Direktur 14|Komisaris Utama|Komisaris 1|Komisaris 2|Komisaris 3|Komisaris 4|Komisaris 5|Komisaris 6|Komisaris 7|Komisaris 8|Komisaris 9|Komisaris 10|Komisaris 11|Komisaris 12|Komisaris 13|Komisaris 14|Corporate Secretary|Established Date|Listing Date|Alamat|Phone|Fax|Homepage|Email|Pemilik Saham 1
PT Humpuss Maritim Internasional Tbk|809051295067000|Daryono||Mirawati Sudjono|JT Duma|||Tirta Hidayat|Dedi Hudayana||||||||||||||Abdul Rachim Sofyan, SE. AK.|Daryono||||||||||||||Okty Saptarini Minarti||2023-08-09|Gedung Mangkuluhur City Tower One Lt. 27 Jl. Jend Gatot Subroto Kav 1, Karet Semanggi Setiabudi, Jakarta Selatan. 12930|+62 21 509 33159||www.humi.co.id|corpsec@humi.co.id|PT Humpuss Intermoda Transportasi Tbk
PT Ecocare Indo Pasifik Tbk.|025683442015000|Alwi Kosasih||Daniel Kubijanto|Janto Tatno Moeljono|||Wincent Yunanda|Flora Chandra|Heny|Sudaryanto||||||||||||Hendrik Yong|Hermes Thamrin|Alwi Kosasih|||||||||||||Heny||2024-02-13|Gedung Infinia Park, Jl. Dr. Saharjo No. 45 Blok A No. 55, Manggarai, Tebet, Jakarta Selatan 12850|+62 2122083400|+62 22083400|www.ecocare.id|corsec@ecocare.co.id|Hendrik Yong
PT MNC Energy Investments Tbk|010028181054000|Hamidin||Herman Solichin|Syelvy|||Suryo Eko Hadianto|Kushindrarto|Santi Paramita|Leader Dermawan Soli Daeli||||||||||||Hamidin|Hartono Tanoesoedibjo|Michael Stefan Dharmajaya|||||||||||||Andi Tenri Dala Fajar||2006-09-13|MNC Tower Lantai 22 Jl. Kebon Sirih No. 17-19 Jakarta Pusat 10340 INDONESIA|(62-21) 3912935|(62-21) 3912941|www.mncenergy.com|corsec.iata@mncgroup.com|PT Karya Pacific Investama
PT Intan Baru Prana Tbk|015666605073000|Alexander Reyza||Ivan Agustinus Lingga, S.E., Ak.|Agung Rahmono||||Petrus Halim||||||||||||||Prof. Dr. K.H Said Aqil Siroj, M.A|Alexander Reyza||||||||||||||Yunita Rivianti Riyadi||2014-12-22|INTA Building, Ground Floor Jl. Raya Cakung Cilincing KM. 3,5 Jakarta 14130, Indonesia|(021) 440 1408, 440 8442|(021) 440 8441|www.ibf.co.id|corsec@ibf.co.id|PT Intraco Penta Tbk
PT Indo Boga Sukses Tbk|904165644542000|Sihol Siagian||Asthon M. H. Siagian|Sukrisno Agoes|||Edi Nugroho|Eka Ruli Afriawan|Chandra Adhi Pradana|||||||||||||Nita Federika|Tunggul Guntur Pasaribu|Sihol Siagian|||||||||||||Wahyuni Octarini||2022-04-25|Jalan Raya Randugowang, Desa Sendangadi, Kecamatan Mlati Kabupaten Sleman, Yogyakarta 55285|0274 2880 288|0274 2885099|www.indobogasukses.com|corsec@indobogasukses.com|PT Goldman Investindo Sedaya
Inti Bangun Sejahtera Tbk|024924631054000|Rinaldy Santosa||Jacobus Sindu Adisuwono|Patricia Marina Sugondo|||RAMADHAN KURNIA NUSA|DONI WILAGA KUSUMA|CATHERINE SEMBIRING PELAWI|SUCIRATIN||||||||||||ADAM GIFARI|RINALDY SANTOSA|HARYO DEWANTO|||||||||||||Suciratin||2012-08-31|Jl. Tanjung Karang No.11, Desa Jati Kulon, Kecamatan Jati, Kabupaten Kudus, Jawa Tengah 59347|(0291) 435984|-|www.ibstower.com|corpsec@ibstower.com|PT IFORTE SOLUSI INFOTEK
Indofood CBP Sukses Makmur Tbk|0029930856092000|Adi Pranoto Leman||Timotius|Amelia Setiawan|||Anthoni Salim|Axton Salim|Tjhie Tje Fie (Thomas Tjhie)|Taufik Wiraatmadja|Joedianto Soejonopoetro|Hendra Widjaja|Suaimi Suriady|Mark Julian Wakeford|Sulianto Pratama|Tio Eddy Hariyanto|In She|Chandra Arif Santoso|Axton Salim|Tjhie Tje Fie (Thomas Tjhie)|Taufik Wiraatmadja|Franciscus Welirang|Moleonoto (Paulus Moleonoto)|Alamsyah|Florentinus Gregorius Winarno|Adi Pranoto Leman|Moleonoto (Paulus Moleonoto)|Alamsyah|Florentinus Gregorius Winarno|Adi Pranoto Leman|||||||Gideon Ariprastomo Putro||2010-10-07|Sudirman Plaza, Indofood Tower Lt. 23, Jl. Jend. Sudirman Kav. 76-78, Jakarta 12910|6221 5793 7500|6221 5793 7557|www.indofoodcbp.com|corporate.secretary@icbp.indofood.co.id|PT Indofood Sukses Makmur Tbk
Island Concepts Indonesia Tbk|022175673901000|Prof. Dr. Cynthia Afriani SE., ME.||Siti Nuryanah, SE, MM, MBA, PhD|Triyono, MM|||Dr.Putu Agung Prianta B.Eng(Hons), MA|OCTAVIANUS KUNTJORO|ADIK PRASODJO|||||||||||||VITA DIANI SATIADHI|Prof. Dr. CYNTHIA AFRIANI, SE, ME||||||||||||||Nengsih Wahyuni||2005-07-08|Jimbaran Hub, Jl. Karangmas Kecamatan Kuta Selatan, Kabupaten Badung, Bali-80361|(0361) 620 2424|0|www.islandconcepts.id|corpsec@islandconcepts.id|Prof. Dr. Ir. Anastasia Sulistyawati, M.S.,M.M,D.TH
PT Idea Indonesia Akademi Tbk|925220469017000|Badroni||Lukman Prasetyo|Dyah Chandra Astuti|||Eko Desriyanto|Muhammad Rino Alpassa|Qonita|||||||||||||Teuku Chairul Wisal|Wendy Isnandar||||||||||||||Muhammad Rino Alpassa||2021-09-09|Aleesha Venue, Jl. Wr. Sila No.001, Cipedak, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630|021-7872288||www.ideaindonesia.com|corsec@ideaindonesia.com|PT Idea Asia Investama
PT Indonesia Pondasi Raya Tbk.|013027560046000|Wiro Atmojo Wijaya||Wahyu Tedjamihardja|Anita Leonardi|||Febyan|Heribertus Herry Putranto|Albertus Gunawan|Dwijanto||||||||||||Manuel Djunako|Wiro Atmojo Wijaya||||||||||||||Dwijanto||2015-12-10|Jl. Pegangsaan Dua KM 4,5 Jakarta 14250|(021) 4603253|(021) 4604390; 4604393|www.indopora.com|corporate_secretary@indopora.com|Manuel Djunako
PT Indonesia Fibreboard Industry Tbk|026819011041000|Vera||Tsun Tien Wen Lie|Wardiman Wijaya|||Heffy Hartono|Ang Andri Pribadi|Setiawan Tjutju|Hideaki Okubo||||||||||||Surja Hartono|Kensuke Shuto|Vera|||||||||||||Evan Kristian||2019-12-10|Wisma ADR Lt. 3, Jl. Pluit Raya I No 1, Penjaringan, Jakarta Utara 14440|(021) 6615555|(021) 6619303|www.pt-ifi.com|corporate.secretary@pt-ifi.com|PT Adrindo Intiperkasa
PT Ifishdeco Tbk.|013064308022000|Hongisisilia||Maria Tri Wulandari|Hernawa Shindu Irani|||Muhammad Ishaq|Leman Suti|Agus Prasetyono|Iwan Luison||||||||||||Prof. Dr. Akhmad Syakhroza|Oei Harry Fong Jaya|Lina Suti|Michele Mallorie Sunogo|Ryan Fong Jaya|Hongisisilia|Drs. Roesmanhadi, S.H, MH|||||||||Rivka Rotua Natasya||2019-12-05|Sahid Sudirman Center, Lantai 42 Unit F & G, Jl. Jend. Sudirman No. 86, Kelurahan Karet Tengsin, Kecamatan Tanah Abang, Jakarta Pusat 10220, Indonesia|(021) 5704988|(021) 5704991|www.ifishdeco.com|corporate@ifishdeco.com|PT Fajar Mining Resources
Champion Pacific Indonesia Tbk|0010006427054000|||||||ANTONIUS MUHARTOYO|MASANOBU OJIMA|YO KUBOTA|VERA SUTIDJAN|MIKA FUKUDA|||||||||||BUDI DHARMA WREKSOATMODJO|YOICHI SHIRATA|DYAH SULISTYANDHARI|||||||||||||Agustinus Haryono, SH||1990-11-05|Jl. Sultan Agung Km. 28,5 Bekasi 17133|021-8840040, 021-8841088|-|www.champion.co.id|corporate@champion.co.id, bogi.dhina@champion.co.id|PT Kingsford Holdings
Inti Agri Resources Tbk|018812446054000|Lay Thiam Siong||Veny Indrawati|Tuty Santoso|||SUSANTI HIDAYAT|KWEE JEN PING (YENNY WIJAYA)||||||||||||||BAMBANG SETIAWAN|LAY THIAM SIONG||||||||||||||Yenny Wijaya||2002-10-14|Puri Britania Blok T7 No. B27 - 29 Kembangan Selatan - Kembangan Jakarta Barat 11610|(021) 5830 4806, (021) 5830 4808|(021) 5830 4809|www.iikp.com|akbar@shelookred.com|Masyarakat Non Warkat
Intikeramik Alamasri Industri Tbk|013595384054000|Dean Arslan||Engkos Sadrah|Stepanus Ardhanova|||TEUKU JOHAS RAFFLI|ERWAN DWIYANSYAH||||||||||||||ENGKOS SADRAH|DEAN ARSLAN||||||||||||||Winda Yohana||1997-06-04|Menara Bidakara 2 lantai 1, Jl. Gatot Subroto Kav. 71-73, Jakarta Selatan 12870|(021) 83700435|(021) 83700436|www.intikeramik.com|corpsecretary_legal@intikeramik.com|Masyarakat Non Warkat
PT Era Mandiri Cemerlang Tbk|020391132046000|Welly||Hendrik Ponti Simatupang|Justina Ke|||Johan Rose|Treddy Susanto||||||||||||||Lina|Welly||||||||||||||Bagijati||2020-02-12|Ruko Lodan Center Blok F2-7 Jl. Lodan Raya No.2 Kelurahan Ancol Kecamatan Pademangan – Jakarta Utara 14430|021 6930017|021 6930120|www.indonesiaseafood.net|admin@indonesiaseafood.net|Masyarakat Non Warkat
Sumi Indo Kabel Tbk|011466596054000|Cahyadi Wijaya||Sherren Anggundya|Warga Sari Utamy Teddy|||Satoshi Nishikawa|Osamu Okamoto|Suprapto|Shinichi Takagi||||||||||||Michio Uchino|Hidekazu Ikeda|Cahyadi Wijaya|||||||||||||Anastasia Senja Impianie Putri||1991-01-21|Jl. Gatot Subroto Km. 7,8 Desa Pasir Jaya Jatiuwung Tangerang|(021) 5922404|(021) 59301979|0|secretary-sik@gr.sei.co.jp|Sumitomo Electric Industries, Ltd.
PT Ikapharmindo Putramas Tbk.|011048469007000|Susanto Lam||Wan Wan|R. Bagus Sisnanto|||Kartono|Ayi Saepudin|Eliza Arlena Winata|||||||||||||Maudy Ratna Winata|Titianus Winata|Susanto Lam|||||||||||||Ayi Saepudin||2023-11-08|Jl. Pulogadung Raya No. 29 Kawasan Industri Pulogadung, Jakarta Timur 13930 Indonesia|0214600086|0214608865|www.ikapharmindo.com|corporate.secretary@ikapharmindo.com|PT Ikapharma Inti Mas
Indomobil Sukses Internasional Tbk|010622207054000|Tan Lian Soei||Asdi Aulia|Muliawati|||Jusak Kertowidjojo|Santiago Soriano Navarro|Evensius Go|Bambang Prijono SP|Gunawan (Gunawan Effendi)|Andrew Nasuri|Willianto Husada|||||||||Eugene Cho Park|Hanadi Rahardja|Mohamad Jusuf Hamka|Tan Lian Soei|Edwin Hidayat (Edwin Hidayat Abdullah)|||||||||||CR Susilowasti||1993-11-15|Wisma Indomobil 1 Lt. 9, Jl. MT Haryono Kav. 8, Jakarta 13330|(021) 8564850, 8564860, Ext: 5700|(021) 8564891|www.indomobil.com|corporate.secretary@indomobil.co.id|Gallant Venture Ltd
PT Indomobil Multi Jasa Tbk.|024892929002000|Agus Hasan Pura Anggawijaya||Inna Saparina Sutanto|Amelia Setiawan|||Jusak Kertowidjojo|Andrew Nasuri|Toshiro Mizutani|||||||||||||Bambang Prijono|Agus Hasan Pura Anggawijaya||||||||||||||Syafitri Meitasari||2013-12-10|Indomobil Tower Lt. 11, Jl. MT Haryono Kav. 11, Jakarta 13330|(021) 29185400|(021) 29185401|www.indomobilmultijasa.com|ita@indomobilmultijasa.com|PT Indomobil Sukses International Tbk
PT Impack Pratama Industri Tbk|013615638046000|Kelvin Choon Jhen Lee||Tri Susilo|Janti Widjaja|||Haryanto Tjiptodihardjo|Janto Salim|David Herman Liasdanu|Sugiarto Romeli|Wira Yuwana|Lisan|Phillip Tjipto|||||||||LINDAWATI|Kelvin Choon Jhen Lee||||||||||||||Lenggana Linggawati||2014-12-17|Altira Office Tower Lantai 38, Altira Business Park, JL Yos Sudarso No. 85 Jakarta Utara14350|6221- 65311045|6221-65311041|www.impack-pratama.com|corporate.secretary@impack-pratama.com|PT Harimas Tunggal Perkasa
Indofarma Tbk.|010600062051000|Teddy Wibisana||Ferry Apriandi||||Yeli Andriani|Andi Prazos||||||||||||||Didi Agus Mintadi|Teddy Wibisana||||||||||||||Hilda Yani||2001-04-17|Jl. Indofarma No. 1, Cikarang Barat, Bekasi, 17530|(021) 8832 3971/75; 8590 8349/50|(021) 8832 3972/73; 857 4503|www.indofarma.id|corsec@indofarma.id dan headoffice@indofarma.id|PT Bio Farma (Persero)
Indal Aluminium Industry Tbk|011225356054000|Drs. Supranoto Dipokusumo||Heri Kustiyono Rudiantoro|Bambang Njotoprajitno|||Alim Markus|Alim Mulia Sastra|Alim Prakasa|Wibowo Suryadinata|Cahyadi Salim|||||||||||Welly Muliawan,Lie|Supranoto Dipokusumo||||||||||||||Robby Sumargono; Ariawan Wiradinata; Tjoa Chaly||1994-12-05|Desa Sawotratap Gedangan (Kawasan Maspion Unit I) Sidoarjo, Surabaya|(031) 8531531 ext. 3431|(031) 8532812|http://www.indalcorp.com|info@indalcorp.com|PT. Husin Investama
PT Indo Komoditi Korpora Tbk|013107388054000|Arie Rinaldi||Donny Janson Manua|Purwanto|||Sujaka Lays|Alycius Hendry||||||||||||||Donny Janson Manua|Arie Rinaldi||||||||||||||Ferry Kurniawan||2016-09-06|Centennial Tower Lt. 21 Unit H|021-22958323|021-22958324|www.indokomoditikorpora.com|Tetap corsec@indokomoditikorpora.com|Masyarakat Non Warkat
Intanwijaya Internasional Tbk|012092359054000|Ignatius Evan Rickyanto Harsono||Meliani|David Bingei|||Tazran Tanmizi|Sondy Ardy||||||||||||||Tamzil Tanmizi|Ignatius Evan Rickyanto Harsono|Reynazran Royono|||||||||||||Sondy Ardy||1990-07-24|Wisma IWI lt. 5 Jl. Arjuna Selatan Kav.75, Kebun Jeruk, Jakarta 11530|021-5308637|021-5308632, 5308633|www.intanwijaya.com|intanwijaya898@gmail.com|Masyarakat Non Warkat
Vale Indonesia Tbk|010005411091000|Marita Alisjahbana||Sahat Pardede|Rudiantara|Irhoan Tanudiredja|||Adriansyah Chaniago|Bernardus Irmanto|Rizky Andhika Putra|Muhammad Asril|Luke Mahony||||||||||Muhammad Rachmat Kaimuddin|Dr. M Jasman Panjaitan|Edi Permadi|Christopher McCleave|Kristina Gauthier|Yusuke Niwa|Rudiantara|Retno LP Marsudi|Marita Alisjahbana|||||||Wiwik Wahyuni||1990-05-16|Sequis Tower, 20th Floor, Unit 6&7 - Jl. Jend. Sudirman Kav. 71, Jakarta 12190, Indonesia|(62) 21 524-9000|(62) 21 524-9020|http://www.vale.com/indonesia|ptvi-corpsec@vale.com|PT Mineral Industri Indonesia (Persero)
Indofood Sukses Makmur Tbk|0015426588092000|Hans Kartikahadi||Amelia Setiawan|Notariza Taher|||Anthoni Salim|Franciscus Welirang|Axton Salim|Tjhie Tje Fie (Thomas Tjhie)|Taufik Wiraatmadja|Alamsyah|Moleonoto (Paulus Moleonoto)|Joedianto Soejonopoetro|Hendra Widjaja|Tan Suzi Indriani|Tan Elly (Elly Betty)|||||Manuel Velez Pangilinan|Benny Setiawan Santoso|Christopher Huxley Young|Joseph Hon Pong Ng|John William Ryan|Hans Kartikahadi|Bambang Permadi Soemantri Brodjonegoro|Sulaiman Arif Arianto||||||||Bp Victor Suhendra||1994-07-14|Sudirman Plaza, Indofood Tower, Lt. 27, Jl. Jend. Sudirman Kav. 76-78 Jakarta 12910|6221 5795 8822|6221 5793 5960|www.indofood.com|corporate.secretary@indofood.co.id|FIRST PACIFIC INVESTMENT MANAGEMENT LTD
PT Royalindo Investa Wijaya Tbk|02417200902900|Istanto Burhan||Armand Arief|Ismail Mandry|||Leslie Soemedi|Nevin Soemedi||||||||||||||Diah Soemedi|Istanto Burhan||||||||||||||Ko Sugiarto||2020-01-13|Gedung M@Cokro 49 #100 Jl. HOS Cokroaminoto No.49, Menteng, Jakarta Pusat|021-3983 9900|021-3983 7700|www.royalindo.id|021-3983 7700|Leslie Soemedi
PT Indo-Rama Synthetics Tbk|010016806054000|Bapak Humphrey R. Djemat, SH, LLM||Bapak Wikanto Artadi , SE, Ak, CA|Ibu Dian Utami Tjandra, SE, Ak, CA, CPA|||V S Baldwa|Saurabh Mishra||||||||||||||Sri Prakash Lohia|Humphrey R. Djemat||||||||||||||V.S. Baldwa||1990-08-03|Graha Irama Lt. 17, Jl. HR. Rasuna Said Blok X-1 Kav 1&2, Jakarta 12950|+62-21-5261555|+62-21-5261508|www.indorama.co.id|vishnu.baldwa@indorama.com; arun.dalmia@indorama.com; naryono@indorama.com|Indorama Holdings B.V.
Indospring Tbk|011226867054000|I Gusti Putu Suryawirawan||Dwi Susanto|Poo Winata Polim|||WIRANTO NURHADI|BOB BUDIONO|TEDDY LIMYANTO|ANDRIYAS||||||||||||WIDJIJONO NURHADI|I GUSTI PUTU SURYAWIRAWAN|H. JAN BURHANUDIN|||||||||||||BOB BUDIONO||1990-08-10|Jl. May Jend Soengkono No.10 Segoromadu, Gresik Jawa Timur 61123|(031)398-11-35, 398-24-83, 398-25-24|(031)3981531|www.indospring.co.id|ispin@indospring.co.id|INDOPRIMA GEMILANG
Tanah Laut Tbk|015546302054000|CHNG CHIN HON||RAHAN NARA||||Harun Bin Halim Rasip|Dewi Retno Andriani||||||||||||||Chng Chin Hon|Mohd Sofian Jaafar||||||||||||||Dera Fresky S.H. M.H.||2001-05-17|Grh@ HRH Jl. Lebak Bulus Raya No.20, Lebak Bulus, Cilandak, Jakarta Selatan, 12440|021 - 2781 2154 / 56 - 57|021 - 2782 0991|www.tanahlaut.co.id|corsec@tanahlaut.co.id|Equatorex Sdn Bhd
Indika Energy Tbk|020155537091000|Eko Putro Sandjojo||Osman Sitorus|Harry Ponto|Suhardi Alius|Tonyadi Halim|Azis Armand|Retina Rosabai|Deddy Hariyanto|Johanes Ispurnawan|Kamen Kamenov Palatov|||||||||||Agus Lasmono|Nurcahya Basuki|M. Arsjad Rasjid P.M.|Farid Harianto|Eko Putro Sandjojo|||||||||||Adi Pramono||2008-06-11|Gedung Mitra Lantai 3, Jl. Jend. Gatot Subroto Kav.21, Jakarta 12930|(021) 25579888|(021) 25579889|www.indikaenergy.co.id|info@indikaenergy.co.id|PT Indika Inti Investindo
PT Sinergi Inti Andalan Prima Tbk.|811486323014000|Cahyana Ahamadjayadi||Anton Himan|Fathurrizal Zuhry|||Muhammad Arif|Bayu Satrio|Willy Unsulangi|||||||||||||Setyanto Hantoro|Cahyana Ahmad Jayadi||||||||||||||Kemal Akbar||2023-07-24|Gedung Cyber 1 Lantai 10, Jl. Kuningan Barat No.8, Jakarta Selatan 12710|021-5265943/5835854||www.siapnetworks.co.id|info@sinergynetworks.co.id|PT Abadi Kreasi Unggul Nusantara
Indah Kiat Pulp & Paper Tbk|010005668092000|Dr. Ir. Rizal Affandi Lukman, M.A.||Suryamin Halim|Tio I Huat|||Hendra Jaya Kosasih|Didi Harsa Tanaja / Didi Harsa|Kurniawan Yuwono|Lioe Djohan|Agustian Rachmansjah Partawidjaja|Heri Santoso ,Liem||||||||||DR. Saleh Husin , SE, MSi|Kosim Sutiono|Sukirta Mangku Djaja|Andri Setiawan Yapsir|Drs. Pande Putu Raka, Ma|Dr.Ramelan SH,MH|DR. Ir. Rizal Affandi Lukman,M.A.|||||||||Heri Santoso||1990-07-16|GEDUNG SINAR MAS LAND PLAZA MENARA 2 LT 9 JL MH.THAMRIN NO 51 GONDANGDIA MENTENG JAKARTA PUSAT DKI JAKARTA 10350|021-29650800|021 - 3927685|www.app.co.id|yan_partawijaya@app.co.id; suhendra_wiriadinata@app.co.id; heri_santoso@app.co.id; lydia_lydia@app.co.id|PT APP Purinusa Ekapersada
PT Inocycle Technology Group Tbk.|0020264602057000|Widhyawan Prawiraatmaja||Wahyuningsih,S.E.,M.Si,MOS|Dade Ahmad Sudrajat,S.E.,AK,CA|||Jaehyuk Choi|Suhendra Setiadi|Victor Seng Hyeok Choi|Wonhyuk Choi|Lee Yong Hwa|||||||||||Jung Hyo Choi|Widhyawan Prawiraatmadja||||||||||||||Erwin Prayudi Suyudono||2019-07-10|Kawasan Industri Pasar Kemis, Jl. Putera Utama No.10, Kelurahan Suka Asih, Kecamatan Pasar Kemis, Kabupaten Tangerang, Provinsi Banten|021 5909626|(021) 590 3310|www.inocycle.com|info@inocycle.com|PT. Samudera Industri
Bank Artha Graha Internasional Tbk|013142880054000|Pesta Uli Sitanggang||Suryani Purwita|Anas Latief|||Andy Kasih|Indra Sintung Budianto|Indrastomo Nugroho|Handoyo Soedirdja||||||||||||Kiki Syahnakri|Elizawatie Simon|Pesta Uli Sitanggang|||||||||||||Rumi Kreshna Wibowo||1990-08-23|GEDUNG ARTHA GRAHA LT. 5, JL. JEND SUDIRMAN KAV. 52-53 SENAYAN KEBAYORAN BARU JAKARTA SELATAN DKI JAKARTA RAYA -12190|(021) 515-2168|(021) 515-3157|www.arthagraha.com|co_secretary@ag.co.id|Masyarakat Non Warkat
Indonesian Paradise Property Tbk|017734617054000|Hadi Cahyadi||Anang Yudiansyah Setiawan|Kurniadi|||Anthony Prabowo Susilo|Patrick Santosa Rendradjaja|Surina|||||||||||||Todo Sihombing|Agoes Soelistyo Santoso|Karel Patipeilohy|Amelia Gozali|Meryana Hartono|||||||||||Ispandiati Makmur||2004-01-12|Centennial Tower, Lantai 30 Jl. Gatot Subroto, Kavling 24 & 25 Jakarta - 12930, Indonesia|+6221 - 29880466|+6221 - 29880460|www.paradiseindonesia.com|corporate.secretary@paradiseindonesia.com|Standard Chartered Bank SG S/A VP Bank A/C PT Grahatama Kreasibaru-864134194
PT Indah Prakasa Sentosa Tbk.|014577423046000|Ir Hadi Avilla Tamzil||Ari Binsar|Achmad Syafei|||EDDY PURWANTO WINATA|JERRY ERFANSYAH||||||||||||||LIES ERLIAWATI WINATA|IR HADI AVILLA TAMZIL||||||||||||||JERRY ERFANSYAH||2018-04-06|Jl. Plumpang Semper No. 24 RT.012 RW 002 Kelurahan Tugu Utara Kecamatan Koja Jakarta Utara 14260|(62-21) 658 37620, 658 37621|(62-21) 658 37838|http://www.inprasegroup.co.id/|corporate.secretary@inprasegroup.co.id|PT Surya Perkasa Sentosa
Toba Pulp Lestari Tbk|012197950054000|Thomson Siagian, SH||Hong Chun|Lamsaudin Situmeang, SE, SH|||Sandeep Bhalla|Jandres Halomoan Silalahi|Anwar Lawden, SH|Monang Simatupang|Niroshan Romesh Silva|||||||||||Ignatius Ari Djoko Purnomo|Elisa Ganda Togu Manurung|Thomson Siagian, SH|Joni Supriyanto||||||||||||Anwar Lawden, S.H.||1990-06-18|Uniplaza, East Tower, Lantai 3 Jalan Letjend. Haryono MT No. A-1 Medan 20231 Sumut - Indonesia|+62 61 453 2088|+62 61 453 0967|www.tobapulp.com|investor_relation@tobapulp.com|Pinnacle Company Pte. Ltd.
Intraco Penta Tbk|013056916091000|Jugi Prajogio||Agung Rahmono||||Petrus Halim|Willianto Febriansa||||||||||||||Leny Halim|Jugi Prajogio||||||||||||||Willianto Febriansa||1993-08-23|Jl. Raya Cakung Cilincing KM 3,5, RT 005, RW 010, Semper Timur, Cilincing, Jakarta Utara, DKI Jakarta Raya, 14130|021-4401408|021-4419330; 021-4413882|www.intracopenta.com|corpsec@intracopenta.com|Masyarakat Non Warkat
Inter-Delta Tbk|013008099054000|HASAN EFENDI LIEM||FACHRUL ABDUL RACHMAN|HENDRA BRATA|||Joe Marco Lesmana|Kevin Wong||||||||||||||Karna Brata Lesmana|Hasan Efendi Liem||||||||||||||Wiwid Puji Hastuti||1989-12-18|Jl. Gaya Motor Barat Sunter II Jakarta Utara 14330|021 6523333|021 6510472|www.inter-delta.co.id|corpsecr@interdelta.co.id|Peak Aim Depelopment Limited
Indocement Tunggal Prakarsa Tbk|010621191092000|Simon Subrata||Ancella Anitawati Hermawan|Ludivicus Sensi Wondabio|||Christian Kartawijaya|Hasan Imer|Troy Dartojo Soputro|Oey Marcos|Holger Morch|Sunnira Ly||||||||||Roberto Callieri|Franciscus Welirang|Juan Francisco Defalque|Rene Samir Aldach|Kevin Gerard Gluskie|||||||||||Dani Handajani||1989-12-05|Wisma Indocement lantai 13, jalan Jenderal Sudirman kav. 70-71 Jakarta 12910|021-8754343 ext 3808|021-87941166|http://www.indocement.co.id|corpsec@indocement.co.id|Heidelberg Materials AG
PT Sumber Sinergi Makmur Tbk|730884715451000|||||||Alamsyah|Tommy Indra Anggara||||||||||||||Darren Suciono|Elvina||||||||||||||Tommy Indra Anggara||2023-10-06|Fox Logger Tower Jl. Cideng Barat nomor 31A, RT. 003/RW. 011, Kelurahan Cideng, Kecamatan Gambir, Jakarta Pusat 10150|(021) 629 2775||www.foxlogger.co.id|corsec@foxlogger.com|Alamsyah
PT Era Graharealty Tbk|015671506022000|Tjio yafet Kristanto||Nurharyanto, Ak. MM. CRMP.CfrA. CA.|Julius Jurianto CFA|||Darmadi Darmawangsa|Aan Andriani Sutrisno||||||||||||||Susan Widjayawati|Tjio Yafet Kristanto||||||||||||||Edwar||2021-06-30|TCC Batavia Tower One Lantai 8 Suite 3-5Jl. K.H. Mas Mansyur Kav. 126Jakarta Pusat 10220|(021) 570 8000 / (021) 2967 5123|(021) 570 4776 / (021) 570 8082|www.eraindonesia.com|corsec@eraindonesia.com|APAC INVESTMENT 2 PTE LTD
PT Indonesia Kendaraan Terminal Tbk.|032763013093000|Abdur Rahman Hasan||Dyah Ayu Anggraeni|Noval Ali Abbas|||SUGENG MULYADI|BAGUS DWIPOYONO|WING MEGANTORO|KOSONG||||||||||||DRAJAT SULISTYO|ABDUR RAHIM HASAN|LM. ARYA BIMA YUDIANTARA|||||||||||||Roro Endah Dwi Liesly Puspita Sari||2018-07-09|Jl. Sindang Laut No. 100, RT 006 RW 008 Kalibaru, Cilincing|021-4393 2251|021-4393 2250|www.indonesiacarterminal.co.id|corsec.ipcc1@gmail.com|PT PELINDO MULTI TERMINAL
PT Jasa Armada Indonesia Tbk.|032763062093000|Bay Mokhamad Hasani||Dyah Ayu Anggraheni Sugiri|Jaja Suparman|||SHANTI PURUHITA|MUHAMMAD IQBAL|DESSY EMASTARI PRIHATININGTYAS|||||||||||||ZUHRI IRYANSYAH|R.R. DEWI ARIYANI|BAY MOKHAMAD HASANI|F. BUDI PRAYITNO||||||||||||Eddy Haristiani||2017-12-22|Pelindo Tower Lt. 8 dan 9, Jl. Yos Sudarso No.9, Rawabadak Utara, Koja, Jakarta Utara 14230|(021) 430 6789|-|www.ipcmarine.co.id|corsec@ipcmarine.co.id|PT PELINDO JASA MARITIM
Indopoly Swakarsa Industry Tbk|010710051054000|Agnes Goretti||Herbert Halim|Juni Lestari|||Henry Halim|Leo Firdaus|Alexandra Bustami|Yenni Meilina Lie||||||||||||Felielyne Halim|Irawan Sastrotanojo|Agnes Goretti|||||||||||||Yenni Meilina Lie||2010-07-09|Wisma Indocement, Lantai 6, Jalan Jenderal Sudirman Kav. 70-71, Jakarta Selatan 12910|021- 2510088|021- 5224001|www.ilenefilms.com|corpsec@indopoly.co.id|Jefflyne Golden Holdings Pte Ltd
